"DB","Lange","Hohe","Name","Kommentar"
"54","9.05298143726975","48.9375766670194","Freitag, den 15.02.2019 um 20:16 Uhr",
"57","9.05312265242452","48.9376587204211","Freitag, den 15.02.2019 um 20:16 Uhr",
"40","9.05355030397328","48.9377974678815","Freitag, den 15.02.2019 um 20:17 Uhr",
"44","9.05396331180806","48.9379521568335","Freitag, den 15.02.2019 um 20:17 Uhr",
"27","9.05401660986633","48.9379775860086","Freitag, den 15.02.2019 um 20:17 Uhr",
"28","9.05401660986633","48.9379775860086","Freitag, den 15.02.2019 um 20:17 Uhr",
"39","9.05427022111369","48.9381140264677","Freitag, den 15.02.2019 um 20:18 Uhr",
"46","9.05454075660403","48.9383012593123","Freitag, den 15.02.2019 um 20:18 Uhr",
"53","9.05447158195159","48.9382528909657","Freitag, den 15.02.2019 um 20:18 Uhr",
"36","9.05493716181591","48.938454908122","Freitag, den 15.02.2019 um 20:18 Uhr",
"54","9.05554865885255","48.9385364971889","Freitag, den 15.02.2019 um 20:19 Uhr",
"54","9.05575067173517","48.9385297234331","Freitag, den 15.02.2019 um 20:19 Uhr",
"58","9.05578560514913","48.9385281278398","Freitag, den 15.02.2019 um 20:19 Uhr",
"52","9.05650985618835","48.938420548807","Freitag, den 15.02.2019 um 20:21 Uhr",
"48","9.05650985618835","48.938420548807","Freitag, den 15.02.2019 um 20:21 Uhr",
"63","9.05650985618835","48.938420548807","Freitag, den 15.02.2019 um 20:21 Uhr",
"31","9.0572509825851","48.9382905426701","Freitag, den 15.02.2019 um 20:22 Uhr",
"65","9.05872411495765","48.9377469386061","Freitag, den 15.02.2019 um 20:23 Uhr",
"43","9.05888238818894","48.9377116632952","Freitag, den 15.02.2019 um 20:24 Uhr",
"60","9.05938502159601","48.9375043302113","Freitag, den 15.02.2019 um 20:24 Uhr",
"73","9.05965467583339","48.937282103268","Freitag, den 15.02.2019 um 20:24 Uhr",
"43","9.05984837907776","48.9371777422618","Freitag, den 15.02.2019 um 20:25 Uhr",
"42","9.06025454066812","48.9368798024618","Freitag, den 15.02.2019 um 20:25 Uhr",
"36","9.06042606230644","48.9367035909107","Freitag, den 15.02.2019 um 20:25 Uhr",
"36","9.06063949286573","48.9363938694964","Freitag, den 15.02.2019 um 20:26 Uhr",
"43","9.06066309609373","48.936288484761","Freitag, den 15.02.2019 um 20:26 Uhr",
"42","9.06082816064493","48.9357053888523","Freitag, den 15.02.2019 um 20:27 Uhr",
"54","9.06099911939837","48.9358019810013","Freitag, den 15.02.2019 um 20:27 Uhr",
"64","9.06075068435726","48.9364075935502","Freitag, den 15.02.2019 um 20:28 Uhr",
"39","9.06051463296554","48.9367460923142","Freitag, den 15.02.2019 um 20:28 Uhr",
"33","9.0602973446316","48.9369498185746","Freitag, den 15.02.2019 um 20:29 Uhr",
"41","9.06075661426303","48.9370567489518","Freitag, den 15.02.2019 um 20:29 Uhr",
"36","9.06114197232579","48.9370223178243","Freitag, den 15.02.2019 um 20:29 Uhr",
"30","9.06128488213645","48.9372958283069","Freitag, den 15.02.2019 um 20:30 Uhr",
"23","9.06127617318195","48.9376487236934","Freitag, den 15.02.2019 um 20:30 Uhr",
